assay_type,canonical_smiles,molecule_chembl_id,standard_units,standard_value,target_organism,type
B,O=C(Nc1c[nH]nc1-c1nc2ccc(CN3CCOCC3)cc2[nH]1)NC1CC1,CHEMBL495727,nM,1.0,Homo sapiens,IC50
B,c1cc(Nc2ncnc3[nH]ccc23)cc(-c2nc3ccccc3s2)c1,CHEMBL490555,nM,10000.0,Homo sapiens,IC50
B,Fc1cc(-c2nc3ccccc3s2)ccc1Nc1ncnc2ccsc12,CHEMBL474347,nM,10000.0,Homo sapiens,IC50
B,Clc1cc(Nc2ncnc3ccsc23)ccc1-c1nc2ccccc2s1,CHEMBL474346,nM,10000.0,Homo sapiens,IC50
B,COc1cc(Nc2ncnc3ccsc23)ccc1-c1nc2ccccc2s1,CHEMBL514929,nM,10000.0,Homo sapiens,IC50
B,c1ccc2sc(-c3ccc(Nc4ncnc5ccsc45)cc3)nc2c1,CHEMBL472946,nM,10000.0,Homo sapiens,IC50
B,COc1nc(Nc2ccc(-c3nc4ccccc4s3)cc2)c2cc[nH]c2n1,CHEMBL462338,nM,10000.0,Homo sapiens,IC50
B,COc1cc(Nc2ncnc3[nH]ccc23)ccc1-c1nc2ccccc2s1,CHEMBL462162,nM,10000.0,Homo sapiens,IC50
B,COc1cc(Nc2nccc(Nc3cc(C)[nH]n3)n2)ccc1-c1nc2ccccc2s1,CHEMBL461110,nM,10000.0,Homo sapiens,IC50
B,CNc1ccnc(Nc2ccc(-c3nc4ccccc4s3)cc2)n1,CHEMBL462160,nM,10000.0,Homo sapiens,IC50
B,CNC(=O)c1cc(Nc2ccc(-c3nc4ccccc4s3)cc2)ccn1,CHEMBL464210,nM,10000.0,Homo sapiens,IC50
B,COc1nc(Nc2ccc(-c3nc4ccccc4s3)c(OC)c2)c2cc[nH]c2n1,CHEMBL475351,nM,7700.0,Homo sapiens,IC50
B,CNc1nccc(Nc2ccc(-c3nc4ccccc4s3)cc2)n1,CHEMBL512933,nM,6900.0,Homo sapiens,IC50
B,Cc1cc(Nc2cc(Nc3ccc(-c4nc5ccccc5s4)cc3)ccn2)n[nH]1,CHEMBL461991,nM,6500.0,Homo sapiens,IC50
B,CNc1cc(Nc2ccc(-c3nc4ccccc4s3)cc2)ccn1,CHEMBL464014,nM,6000.0,Homo sapiens,IC50
B,CN1CCN(c2ccnc(Nc3ccc(-c4nc5ccccc5s4)cc3)n2)CC1,CHEMBL459886,nM,5200.0,Homo sapiens,IC50
B,COc1cc(Nc2ncnc3[nH]cnc23)ccc1-c1nc2ccccc2s1,CHEMBL475352,nM,3400.0,Homo sapiens,IC50
B,Cc1cc(Nc2ccnc(Nc3cccc(-c4nc5ccccc5s4)c3)n2)n[nH]1,CHEMBL491686,nM,2500.0,Homo sapiens,IC50
B,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OC,CHEMBL301018,nM,2400.0,Homo sapiens,IC50
B,c1ccc2sc(-c3ccc(Nc4ncnc5[nH]ccc45)cc3)nc2c1,CHEMBL518803,nM,2100.0,Homo sapiens,IC50
B,COc1cc2nc(Nc3cc(C)[nH]n3)nc(Nc3cccc(-c4nc5ccccc5s4)c3)c2cc1OC,CHEMBL522785,nM,1600.0,Homo sapiens,IC50
B,O=C(NC(=S)Nc1ccc(O)c(-c2nc3ccccc3s2)c1)c1ccc([N+](=O)[O-])cc1,CHEMBL460746,nM,1000.0,Homo sapiens,IC50
B,COC(=O)c1ccc2c(c1)NC(=O)/C2=C(\Nc1ccc(CN(C)C(=O)N(C)C)cc1)c1ccccc1,CHEMBL525203,nM,10.0,Homo sapiens,IC50
B,COC(=O)c1ccc2c(c1)NC(=O)/C2=C(\Nc1ccc(N(C)C(=O)CN2CCN(C)CC2)cc1)c1ccccc1,CHEMBL502835,nM,5.0,Homo sapiens,IC50
B,COC(=O)c1ccc2c(c1)NC(=O)/C2=C(\Nc1ccc(CN2CCCCC2)cc1)c1ccccc1,CHEMBL497049,nM,32.0,Homo sapiens,IC50
B,COC(=O)c1ccc2c(c1)NC(=O)/C2=C(\Nc1ccc(N(C)C(=O)Cn2ccnc2)cc1)c1ccccc1,CHEMBL524453,nM,7.0,Homo sapiens,IC50
B,COC(=O)c1ccc2c(c1)NC(=O)/C2=C(\Nc1ccc(N(CC(=O)N(C)C)C(C)=O)cc1)c1ccccc1,CHEMBL498088,nM,6.0,Homo sapiens,IC50
B,COC(=O)c1ccc2c(c1)NC(=O)/C2=C(\Nc1ccc(N(CCCN(C)C)C(C)=O)cc1)c1ccccc1,CHEMBL525909,nM,3.0,Homo sapiens,IC50
B,COC(=O)c1ccc2c(c1)NC(=O)/C2=C(\Nc1ccc(N(CCN(C)C)C(C)=O)cc1)c1ccccc1,CHEMBL498265,nM,5.0,Homo sapiens,IC50
B,COC(=O)c1ccc2c(c1)NC(=O)/C2=C(\Nc1ccc(N(CCN(C)C)S(C)(=O)=O)cc1)c1ccccc1,CHEMBL498266,nM,10.0,Homo sapiens,IC50
B,COC(=O)c1ccc2c(c1)NC(=O)/C2=C(\Nc1ccc(C(=O)N(C)CCN(C)C)cc1)c1ccccc1,CHEMBL525550,nM,59.0,Homo sapiens,IC50
B,COC(=O)c1ccc2c(c1)NC(=O)/C2=C(\Nc1ccc(CN(C)C)cc1)c1ccccc1,CHEMBL498105,nM,73.0,Homo sapiens,IC50
B,COC(=O)c1ccc2c(c1)NC(=O)/C2=C(\Nc1ccc(NC(=O)CN2CCN(C)CC2)cc1)c1ccccc1,CHEMBL465015,nM,24.0,Homo sapiens,IC50
B,COc1ncnc2c1ncn2CC(=O)c1ccccc1,CHEMBL519976,nM,45000.0,Homo sapiens,IC50
B,COc1cc2c(Oc3ccc(-c4cnc(Cc5ccccc5)n(C)c4=O)cc3F)ccnc2cc1OCCCN1CCOCC1,CHEMBL505896,nM,120.0,Homo sapiens,IC50
B,COc1cc2c(Oc3ccc(-c4cnc(Nc5ccc(F)cc5)n(C)c4=O)cc3F)ccnc2cc1OCCCN1CCOCC1,CHEMBL453737,nM,5.0,Homo sapiens,IC50
B,CC(C)Oc1ccc2c(c1)CCc1c-2c2c(c3c4ccccc4n(CCO)c13)CNC2=O,CHEMBL460990,nM,2459.0,Homo sapiens,IC50
B,COc1ccc2c(c1)CCc1c-2c2c(c3c4ccccc4n(CCO)c13)CNC2=O,CHEMBL460989,nM,10000.0,Homo sapiens,IC50
B,CCSCc1ccc2c(c1)c1c3c(c4c5cc(CSCC)ccc5n5c4c1n2[C@H]1C[C@](O)(C(=O)OC)[C@]5(C)O1)CNC3=O,CHEMBL290352,nM,39.0,Homo sapiens,IC50
B,Cc1cc(O)cc2oc(=O)c3c(O)cc(O)cc3c12,CHEMBL519982,ug.mL-1,1.3,Homo sapiens,IC50
B,O=C1C[C@H](O)[C@@H]2c3c(ccc(O)c31)-c1ccc(O)c3c1[C@@]2(O)CCC3=O,CHEMBL521470,ug.mL-1,2.8,Homo sapiens,IC50
B,COc1cc(O)c(C(=O)O)c(C2=C(C)C[C@@H](O)C2=O)c1,CHEMBL519395,ug.mL-1,3.7,Homo sapiens,IC50
B,COc1cc(O)c2c(c1)C1(OC2=O)C(C)=CC(=O)C1O,CHEMBL408995,ug.mL-1,10.0,Homo sapiens,IC50
B,COc1cc(O)c2c(c1)-c1cc(O)c(O)cc1COC2=O,CHEMBL507058,ug.mL-1,10.0,Homo sapiens,IC50
B,Cc1cc(O)c(O)cc1-c1cc(O)cc(O)c1C(=O)O,CHEMBL483532,ug.mL-1,6.8,Homo sapiens,IC50
B,COc1cc(O)c(C(=O)O)c(-c2cc(O)c(O)cc2C)c1,CHEMBL483531,ug.mL-1,10.0,Homo sapiens,IC50
B,COc1cc(O)c2c(=O)oc3cc(O)cc(C)c3c2c1,CHEMBL483526,ug.mL-1,0.96,Homo sapiens,IC50
B,Cc1cc(O)cc2oc(=O)c3c(O)cc(OS(=O)(=O)O)cc3c12,CHEMBL483525,ug.mL-1,1.7,Homo sapiens,IC50
B,COc1cc(O)c2c(=O)oc3c(O)c(O)cc(C)c3c2c1,CHEMBL520144,ug.mL-1,0.39,Homo sapiens,IC50
