assay_type,canonical_smiles,molecule_chembl_id,standard_units,standard_value,target_organism,type
B,CCC1CCc2cc3c(C(F)(F)F)cc(=O)oc3cc2N1,CHEMBL266473,nM,1.0,Homo sapiens,IC50
B,CC1(C)CCc2cc3c(C(F)(F)F)cc(=O)oc3cc2N1,CHEMBL7289,nM,1.0,Homo sapiens,IC50
B,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,CHEMBL409,nM,117.0,Homo sapiens,IC50
B,O=c1cc(C(F)(F)F)c2cc3c(cc2o1)NCCC3,CHEMBL268098,nM,1.0,Homo sapiens,IC50
B,CCC1Nc2cc3oc(=O)cc(C(F)(F)F)c3cc2CC1C,CHEMBL6654,nM,7.0,Homo sapiens,IC50
B,C[C@]12CC[C@H]3[C@@H](CC[C@H]4CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,CHEMBL27769,nM,4.0,Homo sapiens,IC50
B,CCC1CC(CC)c2cc3c(C(F)(F)F)cc(=O)oc3cc2N1,CHEMBL6721,nM,7.0,Homo sapiens,IC50
B,O=c1cc(C(F)(F)F)c2cc3c(cc2o1)NCCC3C(F)(F)F,CHEMBL267270,nM,2.0,Homo sapiens,IC50
B,CCCC1CCNc2cc3oc(=O)cc(C(F)(F)F)c3cc21,CHEMBL6855,nM,5.0,Homo sapiens,IC50
B,C=CCC[C@H](O)[C@H]1CCCC2=Cc3c(cnn3-c3ccc(F)cc3)C[C@@]21C,CHEMBL79335,nM,5000.0,Homo sapiens,IC50
B,C[C@]12Cc3cnn(-c4ccc(F)cc4)c3C=C1CCC[C@@H]2[C@H](O)c1ccc(F)cc1,CHEMBL311034,nM,5000.0,Homo sapiens,IC50
B,CC[C@H]1C[C@@H](C)Nc2cc3oc(=O)cc(C(F)(F)F)c3cc21,CHEMBL2112216,nM,12.0,Homo sapiens,IC50
B,CCC1CC(C)c2cc3c(C(F)(F)F)cc(=O)oc3cc2N1,CHEMBL269305,nM,11.0,Homo sapiens,IC50
B,CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,CHEMBL1276308,nM,89.0,Homo sapiens,IC50
B,COc1cccc2c1-c1ccc(NS(C)(=O)=O)cc1C(c1cc(C)cc(C)c1)O2,CHEMBL293452,nM,10000.0,Homo sapiens,IC50
B,COc1cccc2c1-c1ccc(NS(C)(=O)=O)cc1C(c1ccccc1)O2,CHEMBL65021,nM,6525.0,Homo sapiens,IC50
B,COc1cccc2c1-c1ccc(NS(C)(=O)=O)cc1C(c1cccc(F)c1)O2,CHEMBL65354,nM,10000.0,Homo sapiens,IC50
B,COc1cccc2c1-c1ccc(NS(C)(=O)=O)cc1C(c1cccc(C)c1)O2,CHEMBL294800,nM,10000.0,Homo sapiens,IC50
B,COc1cccc2c1-c1ccc(NS(C)(=O)=O)cc1C(c1cccc(Cl)c1)O2,CHEMBL65695,nM,10000.0,Homo sapiens,IC50
B,CCOc1cccc2c1-c1ccc(NS(C)(=O)=O)cc1C(c1ccccc1)O2,CHEMBL66598,nM,10000.0,Homo sapiens,IC50
B,COc1cccc2c1-c1ccc(NS(C)(=O)=O)cc1C(c1cccs1)O2,CHEMBL293388,nM,10000.0,Homo sapiens,IC50
B,CS(=O)(=O)Nc1ccc2c(c1)C(c1ccccc1)Oc1cccc(OC(F)F)c1-2,CHEMBL65221,nM,8727.0,Homo sapiens,IC50
B,COc1cccc2c1-c1ccc(NS(C)(=O)=O)cc1C(c1ccc(C)cc1)O2,CHEMBL65868,nM,10000.0,Homo sapiens,IC50
B,COc1cccc2c1-c1ccc(NS(C)(=O)=O)cc1C(c1ccc(F)cc1)O2,CHEMBL65657,nM,10000.0,Homo sapiens,IC50
B,CC1=CC(C)(C)Nc2ccc3c(c21)/C(=C/c1cc(F)ccc1F)Oc1ccccc1-3,CHEMBL137103,nM,1600.0,Homo sapiens,IC50
B,CC1=CC(C)(C)Nc2ccc3c(c21)/C(=C/c1ccc(F)c(F)c1)Oc1ccccc1-3,CHEMBL342426,nM,916.0,Homo sapiens,IC50
B,Cc1c(NS(C)(=O)=O)cccc1N(Cc1ccccc1)Cc1ccc(Cl)cc1F,CHEMBL70381,nM,300.0,Homo sapiens,IC50
B,Cc1c(NS(C)(=O)=O)cccc1N(Cc1ccccc1)Cc1ccccc1,CHEMBL419633,nM,170.0,Homo sapiens,IC50
B,Cc1cc(N2C(=O)[C@H]3C4C=CC([C@@H](O)[C@H]4O)[C@H]3C2=O)ccc1Br,CHEMBL427502,nM,5240.0,Homo sapiens,IC50
B,Cc1cc(N2C(=O)[C@H]3C4C=CC([C@@H](O)[C@H]4O)[C@H]3C2=O)ccc1Br,CHEMBL427502,nM,59.0,Homo sapiens,IC50
B,O=C1[C@H]2C3C=CC(CC3)[C@H]2C(=O)N1c1ccc(Cl)c(Cl)c1,CHEMBL184981,nM,150.0,Homo sapiens,IC50
B,CN1C(=O)C2C=CC1[C@@H]1C(=O)N(c3ccc([N+](=O)[O-])c4ccccc34)C(=O)[C@H]21,CHEMBL183173,nM,4030.0,Homo sapiens,IC50
B,CN1C(=O)C2C=CC1[C@@H]1C(=O)N(c3ccc([N+](=O)[O-])c4ccccc34)C(=O)[C@H]21,CHEMBL183173,nM,631.0,Homo sapiens,IC50
B,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,CHEMBL409,nM,173.0,Homo sapiens,IC50
B,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,CHEMBL409,nM,400.0,Homo sapiens,IC50
B,CC(C)(O)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,CHEMBL491,nM,26.0,Homo sapiens,IC50
B,O=C1[C@H]2C3C=CC(C3)[C@H]2C(=O)N1c1ccc(Cl)c(Cl)c1,CHEMBL182593,nM,307.0,Homo sapiens,IC50
B,O=C1[C@H]2C3C=CC(C3)[C@H]2C(=O)N1c1ccc(Cl)c(Cl)c1,CHEMBL182593,nM,41.0,Homo sapiens,IC50
B,O=C1[C@H]2C3CCC(C3)[C@H]2C(=O)N1c1ccc([N+](=O)[O-])c(C(F)(F)F)c1,CHEMBL178333,nM,12.0,Homo sapiens,IC50
B,O=C1[C@H]2C3C=CC(CC3)[C@H]2C(=O)N1c1ccc([N+](=O)[O-])c2ccccc12,CHEMBL361445,nM,224.0,Homo sapiens,IC50
B,O=C1[C@H]2C3C=CC(CC3)[C@H]2C(=O)N1c1cccc(C(F)(F)F)c1,CHEMBL182412,nM,196.0,Homo sapiens,IC50
B,O=C1[C@H]2C3C=CC(CC3)[C@H]2C(=O)N1c1cccc(C(F)(F)F)c1,CHEMBL182412,nM,66.0,Homo sapiens,IC50
B,O=C1[C@H]2C3C=CC(CCC3)[C@H]2C(=O)N1c1ccc([N+](=O)[O-])c2ccccc12,CHEMBL369542,nM,49.0,Homo sapiens,IC50
B,O=C1[C@H]2C3CCCC(CC3)[C@H]2C(=O)N1c1cccc(C(F)(F)F)c1,CHEMBL183882,nM,658.0,Homo sapiens,IC50
B,O=C1[C@H]2C3CCCC(CC3)[C@H]2C(=O)N1c1cccc(C(F)(F)F)c1,CHEMBL183882,nM,23.0,Homo sapiens,IC50
B,O=C1[C@H]2C3C=CC([C@@H]4C[C@H]34)[C@H]2C(=O)N1c1ccc([N+](=O)[O-])c2ccccc12,CHEMBL367375,nM,786.0,Homo sapiens,IC50
B,O=C1[C@H]2C3C=CC([C@@H]4C[C@H]34)[C@H]2C(=O)N1c1cccc(C(F)(F)F)c1,CHEMBL182993,nM,1700.0,Homo sapiens,IC50
B,O=C1[C@H]2C3C=CC([C@@H]4C[C@H]34)[C@H]2C(=O)N1c1cccc(C(F)(F)F)c1,CHEMBL182993,nM,30.0,Homo sapiens,IC50
B,Cc1cc(N2C(=O)[C@H]3C4C=CC(CC4)[C@H]3C2=O)ccc1Br,CHEMBL180681,nM,68.0,Homo sapiens,IC50
B,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,CHEMBL386630,nM,3.9,Homo sapiens,IC50
B,CC(=O)O[C@]1(C(C)=O)CCC2C3C=C(Cl)C4=CC(=O)[C@@H]5CC5[C@]4(C)C3CC[C@@]21C,CHEMBL361245,nM,22.0,Homo sapiens,IC50
B,CC(=O)O[C@]1(C(C)=O)CCC2C3C=C(Cl)C4=CC(=O)[C@@H]5CC5[C@]4(C)C3CC[C@@]21C,CHEMBL361245,nM,4.7,Homo sapiens,IC50
B,CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,CHEMBL1276308,nM,2.2,Homo sapiens,IC50
B,CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,CHEMBL1276308,nM,7.8,Homo sapiens,IC50
B,C[C@]12CCC3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@H]2O,CHEMBL2311179,nM,0.2,Homo sapiens,IC50
B,CC[C@H]1C[C@@]2(C)C(CC[C@@H]2O)C2CCC3=CC(=O)CCC3=C21,CHEMBL184228,nM,2.0,Homo sapiens,IC50
B,CCCCC[C@H]1C[C@@]2(C)C(CC[C@@H]2O)C2CCC3=CC(=O)CCC3=C21,CHEMBL184313,nM,0.1,Homo sapiens,IC50
B,CCCCC[C@H]1C[C@@]2(C)C(CC[C@@H]2O)C2CCC3=CC(=O)CCC3=C21,CHEMBL184313,nM,0.009,Homo sapiens,IC50
B,CCCCCCCC[C@H]1C[C@@]2(C)C(CC[C@@H]2O)C2CCC3=CC(=O)CCC3=C21,CHEMBL186467,nM,6.6,Homo sapiens,IC50
B,CCCCCCCC[C@H]1C[C@@]2(C)C(CC[C@@H]2O)C2CCC3=CC(=O)CCC3=C21,CHEMBL186467,nM,0.9,Homo sapiens,IC50
B,CCCCCCCCCC[C@H]1C[C@@]2(C)C(CC[C@@H]2O)C2CCC3=CC(=O)CCC3=C21,CHEMBL186254,nM,0.8,Homo sapiens,IC50
B,CCCCCCCCCC[C@H]1C[C@@]2(C)C(CC[C@@H]2O)C2CCC3=CC(=O)CCC3=C21,CHEMBL186254,nM,85.0,Homo sapiens,IC50
B,CCCCCCCCCCCC[C@H]1C[C@@]2(C)C(CC[C@@H]2O)C2CCC3=CC(=O)CCC3=C21,CHEMBL189306,nM,0.2,Homo sapiens,IC50
B,CC1(C)C(=O)N(c2ccc(C#N)c(C(F)(F)F)c2)C(=O)N1OCCOCCCc1ccc(O)c(C(N)=O)c1,CHEMBL2113034,nM,77.0,Homo sapiens,IC50
B,CC1(C)C(=O)N(c2ccc(C#N)c(C(F)(F)F)c2)C(=O)N1OCCOCCOCCCc1ccc(O)c(C(N)=O)c1,CHEMBL2113032,nM,332.0,Homo sapiens,IC50
B,CC1(C)C(=O)N(c2ccc(C#N)c(C(F)(F)F)c2)C(=O)N1OCC#CCCc1ccc(O)c(C(N)=O)c1,CHEMBL2113036,nM,49.0,Homo sapiens,IC50
B,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)CC3OC1C[C@H](NCNC(=O)c2cc(COCC#CCN3C(=O)N(c4ccc(C#N)c(C(F)(F)F)c4)C(=O)C3(C)C)ccc2O)[C@H](O)[C@H](C)O1,CHEMBL264131,nM,90.0,Homo sapiens,IC50
B,CCCC(=O)Oc1ccc(COCC#CCN2C(=O)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)C2(C)C)cc1C(=O)NCN[C@H]1CC(OC2C[C@](O)(C(=O)CO)Cc3c(O)c4c(c(O)c32)C(=O)c2c(OC)cccc2C4=O)O[C@@H](C)[C@H]1O,CHEMBL386437,nM,63.0,Homo sapiens,IC50
B,Cc1c(NS(C)(=O)=O)cccc1N(Cc1ccccc1)Cc1ccc(Oc2ccc(OCC(=O)O)cc2)cc1,CHEMBL190225,nM,11700.0,Homo sapiens,IC50
B,Cc1c(NS(C)(=O)=O)cccc1N(Cc1ccc(Oc2ccc(Cl)c(OCC(=O)O)c2)cc1)Cc1ccc(F)cc1F,CHEMBL190109,nM,3600.0,Homo sapiens,IC50
B,CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,CHEMBL1276308,nM,8.8,Homo sapiens,IC50
B,CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(Cc4ccc(C)cc4)C3=CC[C@@]21C,CHEMBL363151,nM,6500.0,Homo sapiens,IC50
B,Cc1c(NS(C)(=O)=O)cccc1N(Cc1ccccc1)Cc1ccc(Oc2cccc(OCCCC(=O)NCCCC(=O)O)c2)cc1,CHEMBL185265,nM,1600.0,Homo sapiens,IC50
B,C/C=C1\C(=O)C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,CHEMBL410683,nM,660.0,Homo sapiens,IC50
B,C/C=C1/C(=O)C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,CHEMBL402063,nM,220.0,Homo sapiens,IC50
B,C=C[C@]12CC[C@H](O)CC1=CCC1C2CC[C@@]2(C)C1CC[C@@H]2O,CHEMBL373019,nM,33.0,Homo sapiens,IC50
B,CCC[C@]12CC[C@H](O)CC1=CCC1C3CC[C@H](O)[C@@]3(C)CCC12,CHEMBL201517,nM,1769.0,Homo sapiens,IC50
B,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,CHEMBL135,nM,19.1,Homo sapiens,IC50
B,C=C[C@]12CCC(=O)C=C1CCC1C2CC[C@@]2(C)C1CC[C@@H]2O,CHEMBL203748,nM,7.9,Homo sapiens,IC50
B,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,CHEMBL386630,nM,2.7,Homo sapiens,IC50
B,C#C[C@]1(O)CCC2C3CC=C4C[C@@H](O)CC[C@]4(C=C)C3CC[C@@]21C,CHEMBL381566,nM,287.0,Homo sapiens,IC50
B,C=C[C@]12CC[C@H](O)CC1=CCC1C2CC[C@@]2(C)C1CC[C@]2(C)O,CHEMBL204642,nM,169.0,Homo sapiens,IC50
B,C[C@]12CCC3C(CC=C4C[C@@H](O)CC[C@@]43C=O)C1CC[C@@H]2O,CHEMBL380978,nM,5000.0,Homo sapiens,IC50
B,C[C@]12CCC3C(CC=C4C[C@@H](O)CC[C@@]43CO)C1CC[C@@H]2O,CHEMBL382632,nM,5000.0,Homo sapiens,IC50
B,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,CHEMBL440283,nM,212.0,Homo sapiens,IC50
